"product_id","handle","title","vendor","product_type","published_at","tags","variant_count","available_variant_count","image_count","min_price_egp","max_price_egp","url"
7804844867632,"nude-amber","Nude Amber","Blonde Amber","","2026-08-21T00:49:49+03:00","",3,3,1,750.00,1850.00,"https://siwafragrances.com/products/nude-amber"
8047986114608,"purevelle","Purevelle","Erba Pura Xerjoff","","2026-08-13T01:09:12+03:00","",3,3,1,550.00,1250.00,"https://siwafragrances.com/products/purevelle"
7735874912304,"tobacco-honey","Tobacco Honey","Naxos Xerjoff","","2026-08-08T00:16:59+03:00","Men|Women",3,3,1,550.00,1250.00,"https://siwafragrances.com/products/tobacco-honey"
7735874584624,"forbidden-cherry","Forbidden Cherry","Lost Cherry Tom Ford","","2026-08-06T12:50:02+03:00","Best Selling|Men|Women",3,3,1,500.00,1100.00,"https://siwafragrances.com/products/forbidden-cherry"
7976568782896,"silvere","Silvere","Gentle Fluidity Silver MFK","","2026-08-04T12:46:42+03:00","",3,1,1,600.00,1600.00,"https://siwafragrances.com/products/silvere"
8032720257072,"sundaze","Sundaze","Power Of You Giorgio Armani","","2026-07-25T16:15:16+03:00","",3,3,1,500.00,1100.00,"https://siwafragrances.com/products/sundaze"
7973168840752,"vanilla-91","Vanilla 91","Siwa Fragrances","","2026-05-16T02:57:23+03:00","",1,1,2,380.00,380.00,"https://siwafragrances.com/products/vanilla-91"
7735876517936,"siwa-trail","Siwa Trail","Guidance Amouage","","2026-04-25T00:56:52+03:00","Men|new|Unisex|Women",3,0,1,600.00,1750.00,"https://siwafragrances.com/products/siwa-trail"
7954863554608,"pink-arrogance","Pink Arrogance","Siwa original creation","","2026-04-24T02:19:32+03:00","",3,3,1,450.00,1000.00,"https://siwafragrances.com/products/pink-arrogance"
7954860539952,"pink-allure","Pink Allure","Siwa original creation","","2026-04-24T02:05:44+03:00","",3,3,1,590.00,1400.00,"https://siwafragrances.com/products/pink-allure"
7954857918512,"lost-on-you","Lost On You","Lost In Paris Roja","","2026-04-24T01:48:50+03:00","",3,3,1,750.00,1900.00,"https://siwafragrances.com/products/lost-on-you"
7954855362608,"aurableu","Aurableu","Symphony LV","","2026-04-24T01:23:20+03:00","",3,3,1,700.00,1750.00,"https://siwafragrances.com/products/aurableu"
7924236714032,"absolute-drunk","Absolute Drunk","Il Padrino Sospiro","","2026-03-14T17:06:27+02:00","",3,0,1,750.00,1850.00,"https://siwafragrances.com/products/absolute-drunk"
7909727961136,"bleu-exclusive","Bleu Exclusive","Bleu De Chanel L’exclusif","","2026-02-27T15:40:44+02:00","",3,3,1,750.00,1900.00,"https://siwafragrances.com/products/bleu-exclusive"
7735876878384,"belle-riche","Belle Riche","La Belle Le Parfum","","2026-01-29T11:06:47+02:00","",3,3,1,550.00,1150.00,"https://siwafragrances.com/products/belle-riche"
7776920109104,"bare-glow","Bare Glow","Goddess Burberry","","2025-11-05T21:25:01+02:00","",3,3,1,450.00,1000.00,"https://siwafragrances.com/products/bare-glow"
7767390748720,"bleu-intense","Bleu Intense","Bleu De Chanel Parfum","","2025-10-21T00:55:57+03:00","",3,0,1,500.00,1050.00,"https://siwafragrances.com/products/bleu-intense"
7754046046256,"silk-vanilla-body-lotion","Silk Vanilla Body Lotion","Siwa Fragrances","body lotion","2025-09-29T14:30:54+03:00","",1,0,1,350.00,350.00,"https://siwafragrances.com/products/silk-vanilla-body-lotion"
7735877664816,"mango-pineapple","Mango Pineapple","Summer Hammer","","2025-08-16T22:48:49+03:00","Best Selling|Men|new|Women",3,3,1,750.00,1850.00,"https://siwafragrances.com/products/mango-pineapple"
7735877533744,"vanilla-bundle","Vanilla Bundle","Siwa Fragrances","","2025-07-17T02:06:51+03:00","Bundles",3,0,1,1060.00,1555.00,"https://siwafragrances.com/products/vanilla-bundle"
7735877500976,"drunk-gold","Drunk Gold","Angels’ Share Paradis","","2025-06-24T00:13:32+03:00","Best Selling|Men|Women",3,3,1,750.00,1950.00,"https://siwafragrances.com/products/drunk-gold"
7735877402672,"marshmallow-bundle","Marshmallow Bundle","Siwa Fragrances","","2025-05-17T22:01:56+03:00","Bundles",1,1,1,950.00,950.00,"https://siwafragrances.com/products/marshmallow-bundle"
7735877369904,"marshmallow","Marshmallow","Siwa Fragrances","","2025-05-06T01:43:07+03:00","",1,1,1,375.00,375.00,"https://siwafragrances.com/products/marshmallow"
7735877238832,"lagoon-flair","Lagoon Flair","Le Beau Le Parfum","","2025-04-25T01:25:33+03:00","Best Selling|Men|new",3,3,1,450.00,1200.00,"https://siwafragrances.com/products/lagoon-flair"
7735877206064,"boujee-blush","Boujee Blush","Kayali Boujee Marshmallow","","2025-04-25T01:12:34+03:00","Best Selling|new|Women",3,3,1,500.00,1200.00,"https://siwafragrances.com/products/boujee-blush"
7735877173296,"sweet-oud","Sweet Oud","Oud Cadenza MC","","2025-03-23T00:00:38+02:00","Best Selling|Men|new|Unisex|Women",3,0,2,650.00,1650.00,"https://siwafragrances.com/products/sweet-oud"
7735876911152,"libre-desire","Libre Desire","YSL Libre intense","","2025-03-11T22:21:44+02:00","Best Selling|new|Women",3,3,1,500.00,1250.00,"https://siwafragrances.com/products/libre-desire"
7735876747312,"sweet-rum","Sweet Rum","Siwa Fragrances","","2025-03-02T01:23:09+02:00","",1,1,3,375.00,375.00,"https://siwafragrances.com/products/sweet-rum"
7735876649008,"apple-pie","Apple Pie","Siwa Fragrances","","2025-02-22T13:03:08+02:00","",1,1,3,375.00,375.00,"https://siwafragrances.com/products/apple-pie"
7735876616240,"silk-vanilla","Silk Vanilla","Siwa Fragrances","","2025-02-21T00:58:20+02:00","",1,1,3,375.00,375.00,"https://siwafragrances.com/products/silk-vanilla"
7735876583472,"gourmet","Gourmet","Siwa original creation","","2025-01-09T02:03:38+02:00","Best Selling|Men|new|Unisex|Women",3,1,2,800.00,2100.00,"https://siwafragrances.com/products/gourmet"
7735876419632,"chocolate-creme","Chocolate Creme","Siwa original creation","","2024-12-06T01:04:10+02:00","Men|new|Unisex|Women",3,3,1,450.00,1250.00,"https://siwafragrances.com/products/chocolate-creme"
7735876321328,"layering-30-ml-bundle","Layering bundle","Siwa Fragrances","","2024-11-14T01:33:28+02:00","Bundles",12,12,1,1105.00,1995.00,"https://siwafragrances.com/products/layering-30-ml-bundle"
7735876223024,"coffee-vanilla","Coffee Vanilla","Siwa original creation","","2024-10-21T02:10:08+03:00","Best Selling|Men|new|Women",3,2,1,550.00,1150.00,"https://siwafragrances.com/products/coffee-vanilla"
7735876190256,"layering-apple","Layering Apple","Eden Juicy Apple kayali","","2024-10-21T01:43:13+03:00","Best Selling|Women",2,2,1,450.00,650.00,"https://siwafragrances.com/products/layering-apple"
7735876059184,"caramel-vanigliato","Caramel vanigliato","Bianco Latte Giardini Di Toscana","","2024-10-08T04:06:02+03:00","Best Selling|Men|Women",3,2,1,550.00,1550.00,"https://siwafragrances.com/products/caramel-vanigliato"
7735875829808,"luna-di-roma","Luna Di Roma","Valentino Donna Born In Roma Intense","","2024-08-14T22:39:37+03:00","Women",1,1,1,600.00,600.00,"https://siwafragrances.com/products/luna-di-roma"
7735875797040,"coco-woods","Coco Woods","Vanilla Powder Matiere Premiere","","2024-07-08T02:47:52+03:00","Men|Women",3,3,1,850.00,2300.00,"https://siwafragrances.com/products/coco-woods"
7735875731504,"soul-poudree","Soul Poudree","Narciso Poudree","","2024-06-17T18:40:51+03:00","Women",3,2,1,400.00,1050.00,"https://siwafragrances.com/products/soul-poudree"
7735875600432,"iris-elixir","Iris elixir","Prada L’Homme Intense","","2024-06-14T14:06:28+03:00","Men",2,0,1,850.00,1350.00,"https://siwafragrances.com/products/iris-elixir"
7735875502128,"hot-male","Hot Male","You Intensely Giorgio Armani","","2024-06-14T01:32:08+03:00","Men",2,1,1,800.00,1250.00,"https://siwafragrances.com/products/hot-male"
7735875436592,"marasi","Marasi","40 Knots Xerjoff","","2024-05-21T14:13:20+03:00","Men|Women",3,3,1,550.00,1400.00,"https://siwafragrances.com/products/marasi"
7735875338288,"hibiscusex","Hibiscusex","Hibiscus Mahajád","","2024-05-10T14:54:02+03:00","Best Selling|Men|Women",3,3,1,700.00,1650.00,"https://siwafragrances.com/products/hibiscusex"
